Gss year for this respondent                       ,Denied raise without reason at work,Promotions are handled fairly,A woman won't get a job or promotion             ,A man won't get a job or promotion  ,For or against preferential hiring of women      ,Favor preferences in hiring blacks,Sex makes your promotion different,Whites hurt by aff. action,Respondent id number,Ballot used for interview
2014,Not applicable,Somewhat true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Very likely,1,Ballot c
2014,Not applicable,Somewhat true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,2,Ballot c
2014,Not applicable,Not applicable,Very unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,3,Ballot a
2014,Not applicable,Not too true,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4,Ballot b
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,5,Ballot c
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,6,Ballot a
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7,Ballot b
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8,Ballot b
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Very likely,9,Ballot c
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,10,Ballot c
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Dont know,11,Ballot c
2014,Not applicable,Not applicable,Not applicable,Somewhat unlikely,Strongly against,Not applicable,Not applicable,Not very likely,12,Ballot a
2014,Not applicable,Not applicable,Dont know,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,13,Ballot a
2014,Not applicable,Not too true,Not applicable,Somewhat unlikely,Strongly for,Not applicable,Not applicable,Somewhat likely,14,Ballot a
2014,Not applicable,Not applicable,Not applicable,Very unlikely,Against,Not applicable,Not applicable,Not applicable,15,Ballot b
2014,Not applicable,Not at all true,Not applicable,Somewhat unlikely,Strongly against,Not applicable,Not applicable,Not applicable,16,Ballot b
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,17,Ballot c
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,18,Ballot c
2014,Not applicable,Somewhat true,Somewhat unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,19,Ballot b
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,20,Ballot c
2014,Not applicable,Very true,Not applicable,Somewhat unlikely,Strongly against,Not applicable,Not applicable,Not very likely,21,Ballot a
2014,Not applicable,Not applicable,Not applicable,Somewhat likely,Strongly for,Not applicable,Not applicable,Not applicable,22,Ballot b
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,23,Ballot c
